species,pu,amount
35339,357,3985095.91392227
35339,358,3985112.20287518
35339,359,3985128.49458125
35339,360,3985144.78908186
35339,361,3985161.08631892
35339,362,3985177.38633705
35339,363,3985193.68910928
35339,364,3985209.99462131
35339,365,3008779.33013813
35869,365,976446.9727531021
35339,366,1145781.06949832
35869,366,2839461.23774201
35339,367,1434616.23252268
35869,367,2550642.69510175
35869,368,3985275.24407375
35869,369,3985291.56327155
35869,370,3985307.88519112
35869,371,3985324.20980667
35869,372,3985340.53713398
35869,373,3985356.86718192
35869,374,3985373.19991733
35869,375,3985389.53536159
35869,376,3985405.87348085
35403,377,1992833.4447607
35869,377,1992588.76953641
35279,378,488296.864873251
35403,378,3497141.69290283
35279,379,3397679.27672776
35403,379,587775.6272282171
35279,380,3985471.25278273
35279,381,3985487.60428732
35279,382,3985503.9584601
35279,383,2411124.83691613
35339,383,1574382.43641671
35361,383,12.6359508780468
35279,384,9963.460037339391
35339,384,1085921.43480285
35361,384,2889651.77989379
35361,385,3985553.03685019
35361,386,3985569.40161423
35361,387,3985585.76899371
35361,388,3985602.139022
35361,389,3985618.51167289
35361,390,3985634.88692535
35361,391,3985651.26482148
35361,392,3985667.6453221003
35361,393,3985684.02841456
35361,394,3985700.41411468
35361,395,3985716.80242485
35361,396,3985733.19330232
35361,397,3985749.58677711
35361,398,3985765.98283179
35361,399,3985782.381456
35361,400,3985798.78267746
35361,401,3985815.18642812
35361,402,3985831.59275982
35361,403,3985848.00165656
35361,404,3985864.41308214
35361,405,3985880.82706002
35361,406,3985897.24359354
35361,407,3985913.66264129
35361,408,3985930.08424611
35361,409,3985946.5083455
35361,410,3985962.93497933
35361,411,3985979.36413846
35361,412,3985995.79580524
35361,413,3986012.22997432
35361,414,3986028.66662215
35361,415,3986045.10580209
35361,416,3986061.54745998
35361,417,3986077.99159624
35361,418,3986094.43820804
35361,419,3986110.88731366
35361,420,3986127.33888626
35361,421,3986143.79291051
35361,422,3986160.24940058
35361,423,3986176.70835751
35361,424,3986193.16975206
35361,425,3986209.6335987
35361,426,3986226.09988109
35361,427,3986242.56860343
35361,428,3986259.03974479
35361,429,3986275.51332726
35361,430,3986291.98930772
35361,431,3986308.46773435
35361,432,3986324.94854299
35361,433,3986341.43176606
35361,434,3986357.91739622
35361,435,3986374.40540446
35361,436,3986390.8958141
35361,437,3986407.38860844
35361,438,3986423.88378158
35361,439,3986440.38132687
35361,440,3986456.88122564
35361,441,3986473.38352204
35361,442,3986489.88815254
35361,443,3986506.39514652
35361,444,3986522.90448362
35361,445,3986539.41616356
35361,446,3986555.93019054
35361,447,3986572.44654623
35279,448,79740.6262032449
35339,448,587727.2276404679
35403,448,2647698.71980861
35869,448,667336.26976037
35279,449,99545.8412926576
35339,449,2569891.6336495
35403,449,995998.8899068
35869,449,318734.883899717
35339,450,3814859.25585835
35869,450,169328.16732112
35339,451,3984203.54922643
35339,452,3984219.67830536
35339,453,3984235.8104237
35339,454,3984251.94556109
35339,455,3984268.08376215
35339,456,3984284.22496962
35339,457,3984300.36921097
35339,458,3356790.7703108
35403,458,418345.3516844409
35869,458,209181.30596094686
35339,459,3048000.79429533
35403,459,697255.150258123
35869,459,239080.4411799
