iucn_cat,puid
II,11999
II,12000
II,12001
II,12002
II,12003
II,12004
II,12005
II,12014
II,12015
II,12017
II,12018
II,12019
II,12020
II,12021
II,12022
II,12023
II,12024
II,12032
II,12033
II,12037
II,12038
II,12039
II,12040
II,12041
II,12042
II,12054
II,12055
II,12063
II,12064
II,12065
II,12066
II,12067
II,12088
II,12089
II,12091
II,12112
II,12113
II,12147
II,12155
III,10266
III,10331
IV,10192
IV,10193
IV,10253
IV,10254
IV,10710
IV,10711
IV,10759
IV,10760
Not Reported,315
Not Reported,316
Not Reported,317
Not Reported,318
Not Reported,463
Not Reported,464
Not Reported,465
Not Reported,466
Not Reported,467
Not Reported,468
Not Reported,469
Not Reported,470
Not Reported,471
Not Reported,612
Not Reported,613
Not Reported,614
Not Reported,615
Not Reported,616
Not Reported,617
Not Reported,618
Not Reported,619
Not Reported,620
Not Reported,621
Not Reported,622
Not Reported,623
Not Reported,760
Not Reported,761
Not Reported,762
Not Reported,763
Not Reported,764
Not Reported,765
Not Reported,766
Not Reported,767
Not Reported,768
Not Reported,769
Not Reported,770
Not Reported,771
Not Reported,772
Not Reported,773
Not Reported,774
Not Reported,775
Not Reported,798
Not Reported,799
Not Reported,910
Not Reported,911
Not Reported,912
Not Reported,913
Not Reported,914
Not Reported,915
Not Reported,916
Not Reported,917
Not Reported,918
Not Reported,919
Not Reported,920
Not Reported,921
Not Reported,922
Not Reported,923
Not Reported,924
Not Reported,925
Not Reported,926
Not Reported,927
Not Reported,945
Not Reported,946
Not Reported,947
Not Reported,948
Not Reported,1060
Not Reported,1061
Not Reported,1062
Not Reported,1063
Not Reported,1064
Not Reported,1065
Not Reported,1066
Not Reported,1067
Not Reported,1068
Not Reported,1069
Not Reported,1070
Not Reported,1071
Not Reported,1072
Not Reported,1073
Not Reported,1074
Not Reported,1075
Not Reported,1076
Not Reported,1077
Not Reported,1092
Not Reported,1093
Not Reported,1094
Not Reported,1095
Not Reported,1096
Not Reported,1097
Not Reported,1098
Not Reported,1210
Not Reported,1211
Not Reported,1212
Not Reported,1213
Not Reported,1214
Not Reported,1215
Not Reported,1216
Not Reported,1217
Not Reported,1218
Not Reported,1219
Not Reported,1220
Not Reported,1221
Not Reported,1222
Not Reported,1223
Not Reported,1224
Not Reported,1225
Not Reported,1226
Not Reported,1227
Not Reported,1238
Not Reported,1239
Not Reported,1240
Not Reported,1241
Not Reported,1242
Not Reported,1243
Not Reported,1244
Not Reported,1245
Not Reported,1246
Not Reported,1247
Not Reported,1361
Not Reported,1362
Not Reported,1363
Not Reported,1364
Not Reported,1365
Not Reported,1366
Not Reported,1367
Not Reported,1368
Not Reported,1369
Not Reported,1370
Not Reported,1371
Not Reported,1372
Not Reported,1373
Not Reported,1374
Not Reported,1375
Not Reported,1376
Not Reported,1377
Not Reported,1385
