"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
55,226496836.109410,131450051.910000,5115,23463836.000000,664787887.000000,55372714.000000,23463836.000000,585951337.000000,0.083294,18248.399410,107297.476692,0,0.999488
56,223961913.601870,128480466.840000,5115,23569129.000000,664787887.000000,55342005.000000,23569129.000000,585876753.000000,0.083248,26474.311870,21723.190688,0,0.997371
57,223929474.576094,128626519.850000,5079,23518678.000000,664787887.000000,54890144.000000,23518678.000000,586379065.000000,0.082568,52308.826094,11281.242975,0,0.997350
58,228531525.395249,133287452.240000,5118,23514277.000000,664787887.000000,55346392.000000,23514277.000000,585927218.000000,0.083254,11251.305249,15857.840890,0,0.998471
59,228362931.050000,132232851.950000,5148,23735822.000000,664787887.000000,55618386.000000,23735822.000000,585433679.000000,0.083663,0.000000,0.000000,0,1.000000
60,221215714.556640,128165592.320000,5131,22952746.000000,664787887.000000,55793866.000000,22952746.000000,586041275.000000,0.083927,91500.936641,145053.773799,1,0.989557
61,230133020.846269,133522697.310000,5135,23852088.000000,664787887.000000,55456067.000000,23852088.000000,585479732.000000,0.083419,9367.136269,47273.453341,0,0.999376
62,228316564.877421,132880938.840000,5130,23531833.000000,664787887.000000,55521872.000000,23531833.000000,585734182.000000,0.083518,131702.387421,14221.284322,0,0.990139
63,220594877.127050,128134633.040000,5105,22823339.000000,664787887.000000,55583290.000000,22823339.000000,586381258.000000,0.083611,25721.137050,81239.226288,0,0.998427
64,227448364.833797,130356098.560000,5120,23966138.000000,664787887.000000,55153364.000000,23966138.000000,585668385.000000,0.082964,29407.373797,76417.518226,0,0.997318
65,225523840.008296,127107890.790000,5120,24292965.000000,664787887.000000,54960336.000000,24292965.000000,585534586.000000,0.082673,29440.968297,207645.784655,0,0.998738
66,226750792.311489,130792243.660000,5133,23678799.000000,664787887.000000,55504324.000000,23678799.000000,585604764.000000,0.083492,59412.701489,131196.575001,0,0.997461
67,225091632.124973,127387076.450000,5132,24097752.000000,664787887.000000,55241104.000000,24097752.000000,585449031.000000,0.083096,108660.074973,123479.670506,0,0.992179
68,220177120.570000,126054719.620000,5118,23240099.000000,664787887.000000,55530646.000000,23240099.000000,586017142.000000,0.083531,0.000000,0.000000,0,1.000000
69,226316572.559621,133983726.330000,5124,22792630.000000,664787887.000000,55846510.000000,22792630.000000,586148747.000000,0.084007,22694.729622,3999.872019,0,0.995995
70,226404247.134793,129258775.150000,5124,23959566.000000,664787887.000000,55227943.000000,23959566.000000,585600378.000000,0.083076,109229.684793,13955.772390,0,0.990139
71,229638613.407497,131401472.920000,5118,24255679.000000,664787887.000000,54969110.000000,24255679.000000,585563098.000000,0.082687,1640.537498,697.840555,0,0.999827
72,227152356.496420,131329635.270000,5097,23648087.000000,664787887.000000,55034915.000000,23648087.000000,586104885.000000,0.082786,47968.876420,110495.313125,0,0.996330
73,232765146.027792,135725364.660000,5095,23944219.000000,664787887.000000,54898918.000000,23944219.000000,585944750.000000,0.082581,65694.417792,262565.856669,0,0.997461
74,230035590.720000,133301389.320000,5111,23884988.000000,664787887.000000,55122655.000000,23884988.000000,585780244.000000,0.082918,0.000000,0.000000,0,1.000000
75,228752021.407489,133422290.770000,5093,23527435.000000,664787887.000000,55004206.000000,23527435.000000,586256246.000000,0.082739,43618.887489,1201.661622,0,0.995028
76,226481548.656979,129333608.540000,5126,23985876.000000,664787887.000000,55192847.000000,23985876.000000,585609164.000000,0.083023,5142.316980,33533.063066,0,0.999750
77,223872310.485997,127394854.090000,5108,23810410.000000,664787887.000000,55096333.000000,23810410.000000,585881144.000000,0.082878,45295.895997,3004.703445,0,0.991603
78,227775808.843142,129485701.390000,5106,24251302.000000,664787887.000000,54859435.000000,24251302.000000,585677150.000000,0.082522,72334.353142,254794.582724,0,0.992133
79,225571254.197950,130763587.550000,5124,23384870.000000,664787887.000000,55517485.000000,23384870.000000,585885532.000000,0.083512,98943.147950,284526.329342,0,0.996330
80,220556766.871428,127074611.510000,5206,23075584.000000,664787887.000000,56732684.000000,23075584.000000,584979619.000000,0.085340,26040.161428,19479.962793,0,0.997350
81,225847335.041516,126845151.190000,5087,24444327.000000,664787887.000000,54508475.000000,24444327.000000,585835085.000000,0.081994,2659.501516,25442.881724,0,0.999981
82,230458397.293510,135331090.510000,5140,23448484.000000,664787887.000000,55701739.000000,23448484.000000,585637664.000000,0.083789,160946.583510,110991.103568,0,0.995522
83,227625568.505643,131547577.890000,5098,23705124.000000,664787887.000000,55021754.000000,23705124.000000,586061009.000000,0.082766,72238.415643,159073.934648,0,0.997146
84,231991951.452806,134821877.250000,5125,23983703.000000,664787887.000000,55289361.000000,23983703.000000,585514823.000000,0.083168,36077.052807,13867.995290,0,0.997350
85,227758317.515644,132106023.840000,5121,23575709.000000,664787887.000000,55438519.000000,23575709.000000,585773659.000000,0.083393,170672.225643,62947.840073,2,0.987883
86,223614111.882110,128760788.940000,5116,23415585.000000,664787887.000000,55429745.000000,23415585.000000,585942557.000000,0.083380,20203.692110,1585.262603,0,0.997350
87,225631205.511554,130799158.330000,5097,23400223.000000,664787887.000000,55170912.000000,23400223.000000,586216752.000000,0.082990,61144.031554,2598.613526,0,0.991603
88,223917275.990000,127680560.390000,5100,23762152.000000,664787887.000000,55012980.000000,23762152.000000,586012755.000000,0.082753,0.000000,0.000000,0,1.000000
89,227833002.410025,132664988.170000,5111,23487960.000000,664787887.000000,55293748.000000,23487960.000000,586006179.000000,0.083175,41776.240025,354141.381991,0,0.999727
90,228200689.397543,131214866.540000,5113,23935434.000000,664787887.000000,55096333.000000,23935434.000000,585756120.000000,0.082878,47315.157544,224151.287005,0,0.996330
91,227293103.861082,131913282.970000,5143,23527432.000000,664787887.000000,55631547.000000,23527432.000000,585628908.000000,0.083683,93721.291082,213258.750911,0,0.991603
92,223615618.414865,129597409.010000,5142,23213772.000000,664787887.000000,55824575.000000,23213772.000000,585749540.000000,0.083974,2432.804865,22581.241463,0,0.999999
93,226291608.459258,129176389.160000,5142,23974922.000000,664787887.000000,55451680.000000,23974922.000000,585361285.000000,0.083413,16785.199258,729.204779,0,0.996330
94,229252124.195262,131498879.220000,5103,24067050.000000,664787887.000000,54934014.000000,24067050.000000,585786823.000000,0.082634,281692.475262,200576.966598,0,0.991336
95,223469395.882992,127211901.950000,5098,23742406.000000,664787887.000000,54991045.000000,23742406.000000,586054436.000000,0.082720,100749.632993,21235.635506,0,0.991603
96,228977991.058748,131828196.510000,5103,23977106.000000,664787887.000000,54920853.000000,23977106.000000,585889928.000000,0.082614,42515.248748,249746.574320,0,0.997943
97,222940550.650395,129398166.420000,5115,23079971.000000,664787887.000000,55548194.000000,23079971.000000,586159722.000000,0.083558,68501.680396,18044.426542,0,0.995972
98,232247653.390000,133319182.240000,5117,24426783.000000,664787887.000000,54912079.000000,24426783.000000,585449025.000000,0.082601,0.000000,0.000000,0,1.000000
99,224543413.518717,128569107.730000,5111,23689758.000000,664787887.000000,55144590.000000,23689758.000000,585953539.000000,0.082951,30785.888718,5822.429848,0,0.997371
100,224321328.298373,129114312.680000,5150,23483572.000000,664787887.000000,55793866.000000,23483572.000000,585510449.000000,0.083927,98549.018373,132455.090438,0,0.997146
