id,cost
76293,63690
76324,104852
76325,111621
76326,118
76346,5764
76347,2141
76354,157
76355,1711
76356,5203
76357,4897
76358,5312
76359,3221
76362,227
76363,661
76364,3420
76365,2109
76366,2068
76367,2137
76368,1331
76369,10899
76370,14746
76371,24316
76372,20938
76373,35842
76374,102673
76375,380343
76376,42486
76382,3193
76445,12937
76446,33667
76447,32817
76448,5630
76449,450
76451,47963
76452,22298
76453,16804
76454,215909
76455,115190
76456,2426
76474,491
76475,145
76482,12070
76483,16583
76485,1706
76486,74361
76487,11221
76853,2434
76854,12968
76855,5124
76856,4243
76857,18713
76858,24404
76859,22357
76860,8133
76866,26359
76867,2014
76868,5520
76869,593
76870,16093
76876,43349
76877,26471
76883,88186
76884,9790
76885,39993
76895,4365
76896,49973
76897,9305
76898,26317
76899,27532
76900,15926
76901,57652
76902,9139
76903,164953
76910,20421
76911,70321
76912,43007
76913,214
76914,25506
76915,53544
76916,91703
76917,77682
76918,96139
76919,7609
76936,1653
76937,13907
76938,39849
76939,101
76943,101
76944,116
76945,5966
76946,4540
76947,11128
76948,11171
76949,4037
76950,17253
76951,27405
76952,5479
76953,7158
76958,233
76959,166
76964,113
76975,111
76977,295
76978,2573
76979,3658
76980,638
76999,16388
77000,4673
77116,26096
77148,172139
77149,251816
77180,259257
77181,490364
77182,333399
77183,138700
77184,26736
77214,1754
77215,21582
77235,4689
77236,41901
77237,23823
77238,505
77245,303
77246,4042
77247,416
77248,1108
77249,2156
77250,1220
77251,795
77252,1404
77253,2905
77254,3133
77255,3988
77256,7146
77257,2690
77258,1207
77259,2240
77260,16660
77261,139269
77262,378928
77263,419102
77264,251889
77265,366923
77266,474752
77267,412136
77269,19516
77270,13956
77335,7364
77336,10145
77337,1005
77341,2430
77342,51636
77343,1395
77344,1212
77345,223643
77346,69563
77365,4977
77366,132
77373,17903
77374,2078
77377,21776
77737,10337
77738,4208
77741,9033
77742,10740
77743,23827
77744,7144
77745,311
77748,3924
77749,31688
77750,146
77755,490
77756,2658
77757,980
77760,789
77761,972
77762,13055
77768,23330
77774,3060
77775,30950
77776,101196
77777,116907
77778,55808
77785,38661
77786,118302
77787,38466
77788,2855
77789,1350
77790,2417
77791,12004
77792,20176
77794,292
77796,100
77797,58127
77801,26034
77802,11583
77803,9331
77804,227
77805,53814
77806,12583
77807,158722
77808,113843
77809,161679
77810,26722
77825,101
77826,12982
77827,58648
77828,54591
77829,50452
77830,27333
77831,15864
77832,20410
