species,pu,amount
5,57341,130368.662298
7,57341,4297.187547
8,57341,207410.034695
10,57341,2409.600158
20,57341,1
1,57354,3203513.163212
2,57354,567292.222082
5,57354,776494.932877
7,57354,5311634.194864
8,57354,51678.783397
10,57354,283216.783796
20,57354,1
1,57355,871246.818981
2,57355,4099188.770407
5,57355,113602.854373
7,57355,1515037.273995
8,57355,25982.228687
10,57355,33847.025121
20,57355,1
1,57356,1974548.898927
2,57356,3155384.969252
5,57356,2984047.120385
7,57356,3326910.804069
8,57356,248730.048052
10,57356,421408.932946
20,57356,1
1,57357,8266105.735146
2,57357,102027.824552
5,57357,1703384.113427
7,57357,2452477.549348
8,57357,198752.200873
10,57357,224878.314482
20,57357,1
29,57647,1
1,57648,1853215.481122
29,57648,1
1,57649,3117982.750968
29,57649,1
1,57650,3733683.789088
29,57650,1
1,57651,418367.833058
2,57651,124334.094518
29,57651,1
1,57652,3428124.545136
2,57652,746327.391878
29,57652,1
1,57653,3368302.698784
2,57653,3133237.411296
29,57653,1
2,57654,14069.099212
29,57654,1
1,57658,708623.435159
26,57658,1
48,57658,100000000
1,57659,2556789.603032
2,57659,667629.632213
26,57659,1
48,57659,100000000
1,57660,4625453.260711
2,57660,1436236.862139
26,57660,1
48,57660,100000000
1,57661,6239151.500746
2,57661,4685212.194429
26,57661,1
48,57661,100000000
1,57662,6538566.187981
2,57662,7719406.062963
26,57662,1
48,57662,100000000
1,57663,2999339.2122
2,57663,3460909.594305
26,57663,1
1,57664,1993726.534967
2,57664,1603980.533639
26,57664,1
1,57665,627590.023086
2,57665,151279.409515
26,57665,1
1,57666,3287929.316547
26,57666,1
1,57667,1537523.897871
26,57667,1
1,57668,2496296.871348
26,57668,1
1,57669,3568982.269508
26,57669,1
48,57669,100000000
1,57670,10778099.662337
26,57670,1
48,57670,100000000
1,57671,429802.730899
26,57671,1
48,57671,100000000
1,57673,496862.259554
26,57673,1
48,57673,100000000
1,57674,407059.612647
26,57674,1
48,57674,100000000
1,57681,394375.708045
26,57681,1
1,57684,530396.729483
26,57684,1
1,57781,1363990.168594
25,57781,1
1,57782,1773044.502319
25,57782,1
1,57788,439342.72579
25,57788,1
50,57788,100000000
1,58229,1150793.681615
3,58229,600639.448406
5,58229,159559.314435
7,58229,319577.939967
8,58229,41267.68135
10,58229,32280.601681
20,58229,1
1,58230,250802.48516
3,58230,3225588.580136
5,58230,34708.495598
7,58230,2637666.186684
8,58230,28724.054954
10,58230,91053.13064
20,58230,1
20,58231,1
1,58232,4267277.027454
3,58232,2505701.334388
5,58232,4137281.988003
7,58232,98697.221488
8,58232,3158951.792908
10,58232,655702.408694
20,58232,1
1,58246,1010236.619779
2,58246,315592.907172
5,58246,798266.292845
7,58246,3743519.855402
8,58246,693771.631713
10,58246,210196.367721
20,58246,1
1,58247,5732115.957034
2,58247,365942.693528
5,58247,8513631.96552001
7,58247,3963367.543928
8,58247,2877926.147284
10,58247,808468.880098001
20,58247,1
1,58248,13532052.481603
2,58248,103616.167153
5,58248,5844241.204433
7,58248,1970742.239228
8,58248,1216161.43812
10,58248,357613.075659
20,58248,1
29,58535,1
1,58536,1145202.798205
29,58536,1
1,58537,1350779.333283
29,58537,1
1,58538,1586205.255627
29,58538,1
1,58539,2059483.106241
29,58539,1
1,58540,238635.080734
29,58540,1
1,58541,2283709.946198
29,58541,1
1,58542,1247358.379904
29,58542,1
2,58543,11594175.270285
29,58543,1
2,58544,26438707.904781
29,58544,1
2,58545,12034591.545391
29,58545,1
1,58551,1772200.813451
26,58551,1
48,58551,100000000
1,58552,330406.224725
2,58552,2572.705929
26,58552,1
48,58552,100000000
1,58553,1989611.844686
2,58553,860807.341742
26,58553,1
48,58553,100000000
1,58554,179942.342293
26,58554,1
1,58555,344124.807966
26,58555,1
1,58556,31769.366762
26,58556,1
1,58557,936037.700529
26,58557,1
1,58558,572395.28414
26,58558,1
1,58559,2379216.350877
26,58559,1
1,58560,976888.909859
26,58560,1
1,58561,667782.525048
26,58561,1
48,58561,100000000
1,58562,32590.592353
26,58562,1
48,58562,100000000
1,58563,2383461.209456
26,58563,1
48,58563,100000000
1,58564,144331.743967
26,58564,1
48,58564,100000000
1,58671,596179.385674
25,58671,1
1,58672,3342213.19892
25,58672,1
25,58675,1
48,58675,100000000
1,58676,33487.7625669999
25,58676,1
48,58676,100000000
1,58677,182111.229687
25,58677,1
48,58677,100000000
1,58678,1641613.611231
25,58678,1
48,58678,100000000
1,58679,126814.720275
25,58679,1
48,58679,100000000
50,58679,100000000
1,59121,269408.634108
3,59121,1024154.80611
5,59121,36337.79906
7,59121,777254.812362
8,59121,30735.02919
10,59121,19214.682991
20,59121,1
1,59122,1293854.895907
3,59122,840342.435221
5,59122,528196.60674
7,59122,380790.80163
8,59122,951320.229781
10,59122,9743.530191
20,59122,1
1,59123,1444618.940794
3,59123,88893.17689
5,59123,937718.715555
7,59123,183.570812
8,59123,2338056.308554
10,59123,22408.191734
20,59123,1
1,59138,3603227.858747
2,59138,2007.590397
5,59138,1684548.56913
7,59138,616938.839191
8,59138,420137.787782
10,59138,12329.87206
20,59138,1
1,59139,1446975.332028
2,59139,2034.644379
5,59139,390290.309741
7,59139,211373.265175
8,59139,94177.004842
10,59139,5637.669035
20,59139,1
1,59141,280362.765806
2,59141,2208.189851
6,59141,16040.044444
7,59141,1450288.703195
8,59141,5512.583568
10,59141,121686.085743
20,59141,1
