id,cost,status
56770,30787,0
56771,28193,0
56772,40044,0
56773,31368,0
56774,42227,0
56775,24226,0
56776,19586,0
56777,9743,0
56778,75278,0
56779,23190,0
56780,112605,0
56781,6237,0
56788,48656,0
56789,1440,0
56790,2591,0
56791,2172,0
56792,7405,0
56793,6928,0
56794,15737,0
56891,28088,0
56892,45002,0
56893,4405,0
56897,6539,0
56898,31500,0
56937,22239,0
56938,40563,0
56939,13809,0
56940,11175,0
56941,35875,0
56942,16406,0
57336,14826,0
57337,52205,0
57338,43070,2
57339,13349,0
57340,34040,0
57341,8149,0
57354,56376,0
57355,16236,0
57356,57633,0
57357,56538,0
57647,106,0
57648,10189,0
57649,28956,0
57650,23873,0
57651,9608,0
57652,34818,0
57653,56434,0
57654,100,0
57658,13071,0
57659,23048,0
57660,45900,0
57661,95600,0
57662,61468,0
57663,61064,0
57664,53161,0
57665,12810,0
57666,57792,0
57667,121746,0
57668,78624,0
57669,43757,0
57670,9303,0
57671,18446,0
57673,2540,0
57674,1810,0
57681,3062,0
57684,3782,0
57781,50955,0
57782,38986,0
57788,17527,0
58229,9523,0
58230,34355,0
58231,100,3
58232,69506,0
58246,39751,0
58247,131152,2
58248,103772,0
58535,115,0
58536,6041,0
58537,7144,0
58538,8372,0
58539,12289,0
58540,1399,0
58541,13460,0
58542,22260,0
58543,10120,0
58544,270,0
58545,177,0
58551,20641,0
58552,11325,0
58553,36954,0
58554,26436,0
58555,8483,0
58556,89550,0
58557,28503,0
58558,33649,0
58559,19949,0
58560,3828,0
58561,6803,0
58562,127940,0
58563,16918,0
58564,738,0
58671,13712,0
58672,45676,0
58675,3057,0
58676,10335,0
58677,21228,0
58678,23803,0
58679,1771,0
59121,11039,0
59122,17144,0
59123,20824,0
59138,27740,0
59139,8828,0
59141,12288,0
59142,100,0
59385,114,0
59425,119,0
59426,38375,0
59427,31675,0
59428,16655,0
59429,14720,0
59430,8361,0
59431,605,0
59432,10710,0
59433,5270,0
59434,265,0
59435,139,0
59436,234,0
59438,100,0
59439,9240,0
59443,101,0
59446,4186,0
59447,8377,0
59448,54504,0
59449,27661,0
59450,235629,0
59451,124974,0
59452,12062,0
59453,6295,0
59457,6494,0
59458,12756,0
59562,32446,0
59563,5634,0
59564,1280,0
59565,26133,0
59566,27277,0
59567,5014,0
59610,257,0
59611,627,0
59993,35318,0
59994,44157,0
59996,2256,0
59997,15563,0
60028,61121,0
60029,128681,0
60030,103257,0
60031,82534,0
60032,42897,0
60033,600,0
60034,1160,0
60035,6155,0
60036,10089,0
60237,100,0
60277,1536,0
60306,43642,0
60307,110578,0
60308,38490,0
60309,121923,0
60310,61683,0
60311,48136,0
60312,54971,0
60313,56878,0
60314,60622,0
60315,41073,0
60316,9221,0
60317,5018,0
60318,49702,0
60319,34868,0
60320,34750,0
60321,4412,0
60322,2652,0
60323,598,0
60329,103,0
60330,29896,0
60331,6521,0
60332,17701,0
60333,30651,0
60334,22236,0
60335,20325,0
60336,39484,0
60337,45410,2
60338,35093,0
60339,15783,0
60341,27545,0
60342,1919,0
60347,2228,0
60451,24495,0
60452,95051,0
60453,31733,0
60454,3891,0
60455,18176,0
60456,23959,0
60457,11634,0
60459,2931,0
60505,14849,0
60506,67084,0
60507,81563,0
60508,11199,0
60513,15853,0
